Extra options: []
Measured: 10 times

Total Average: 18.591300 msec
Total Max:     22.050000 msec
Total Min:     17.663000 msec

 AVERAGE       MAX      MIN
----------------------------
9.074600 10.543000 8.447000: /Users/s09104/.config/nvim/init.lua
8.804400 10.242000 8.189000: require('lazyvim')
0.008300  0.010000 0.008000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/plugin/spellfile.vim
0.007100  0.008000 0.007000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/plugin/tutor.vim
0.006700  0.011000 0.005000: window checked
0.006500  0.009000 0.006000: clear screen
0.006300  0.008000 0.006000: require('ffi')
0.006200  0.007000 0.006000: BufEnter autocommands
0.004200  0.005000 0.004000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/plugin/health.vim
0.004200  0.005000 0.004000: require('vim.keymap')
0.002000  0.002000 0.002000: --- NVIM STARTING ---
0.001100  0.002000 0.001000: parsing arguments
0.001000  0.001000 0.001000: editing files in windows
