Extra options: []
Measured: 10 times

Total Average: 346.137300 msec
Total Max:     586.829000 msec
Total Min:     208.216000 msec

  AVERAGE       MAX       MIN
------------------------------
57.618500 76.718000 44.272000: /Users/s09104/.config/nvim/init.vim
31.929000 76.115000  9.948000: loading rtp plugins
13.106500 29.239000  7.468000: /Users/s09104/.config/nvim/settings/init/plug.vim
12.431400 14.091000 10.466000: /Users/s09104/.config/nvim/settings/plugconfig/telescope.lua
12.374300 14.176000 10.476000: /Users/s09104/.config/nvim/settings/plugconfig/mason.lua
11.782800 13.407000  9.983000: require('telescope.builtin')
11.733200 18.161000  6.791000: inits 1
11.565000 13.200000  9.799000: require('telescope.builtin.__lsp')
 0.409300  0.585000  0.314000: require('lspconfig.util')
 0.404300  0.513000  0.365000: require('telescope.finders.async_oneshot_finder')
 0.403500  0.808000  0.193000: /Users/s09104/.vim/plugged/vim-delve/plugin/delve.vim
 0.401900  0.736000  0.326000: require('cmp.view.docs_view')
 0.389800  1.221000  0.104000: opening buffers
 0.380500  0.562000  0.322000: require('cmp.types')
 0.377600  1.289000  0.191000: /Users/s09104/.vim/plugged/copilot.vim/autoload/copilot/agent.vim
 0.375800  0.662000  0.298000: require('cmp.view.custom_entries_view')
 0.375000  0.702000  0.310000: require('vim.lsp.buf')
 0.372800  0.466000  0.291000: require('trouble.util')
 0.371000  0.707000  0.273000: require('telescope.log')
 0.361900  0.545000  0.260000: require('telescope.pickers.entry_display')
 0.355700  0.902000  0.220000: loading after plugins
 0.347100  0.366000  0.297000: require('vim.lsp.rpc')
 0.345500  0.877000  0.162000: require('lsp-colors')
 0.336900  0.943000  0.199000: require('telescope')
 0.319000  0.367000  0.278000: require('plenary.job')
 0.316400  0.335000  0.278000: require('vim.lsp.semantic_tokens')
 0.313400  0.421000  0.257000: require('plenary.async')
 0.298800  0.616000  0.212000: require('mason-lspconfig.mappings.server')
 0.296800  0.536000  0.149000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/plugin/netrwPlugin.vim
 0.296800  0.380000  0.230000: require('cmp_nvim_lsp')
 0.293600  0.386000  0.230000: locale set
 0.292000  0.391000  0.264000: require('telescope._')
 0.290900  0.368000  0.265000: require('plenary.vararg')
